price;miles;year;make;model;body_type;fuel_type;transmission;doors;exterior_color;insurance_group;engine_size;co2_emission;make_label;model_label;exterior_color_label;fuel_type_label;transmission_label;body_type_label
6500;110548;2012;Jaguar;XF;Saloon;Diesel;Automatic;4;Silver;37;2.2;149;9;135;11;0;0;8
3500;51292;2015;MG;MG3;Hatchback;Petrol;Manual;5;Black;4;1.5;136;14;80;1;2;1;4
3940;26168;2011;Skoda;Fabia;Hatchback;Petrol;Manual;5;Grey;9;1.2;121;24;53;7;2;1;4
6000;66488;2011;Citroen;Grand C4 Picasso;MPV;Diesel;Automatic;5;Red;19;2.0;177;4;63;10;0;0;5
2500;86107;2010;Vauxhall;Corsa;Hatchback;Petrol;Manual;3;Black;6;1.4;129;28;43;1;2;1;4
6949;22422;2014;Honda;Jazz;Hatchback;Petrol;Automatic;5;Grey;19;1.3;128;7;71;7;2;0;4
25990;78126;2013;Land Rover;Range Rover;SUV;Diesel;Automatic;5;Gold;48;4.4;229;12;105;5;0;0;7
6500;44220;2008;Peugeot;2008;SUV;Diesel;Manual;5;Grey;22;1.6;96;20;3;7;0;1;7
5439;71446;2011;Nissan;Juke;SUV;Petrol;Manual;5;Black;22;1.6;159;19;73;1;2;1;7
3400;64691;2012;Mazda;Mazda2;Hatchback;Petrol;Manual;5;Black;9;1.3;115;15;83;1;2;1;4
6500;112637;2015;Ford;Mondeo;Estate;Diesel;Manual;5;White;23;2.0;109;6;89;12;0;1;3
4949;76927;2011;Audi;A1;Hatchback;Diesel;Manual;3;Blue;14;1.6;99;1;12;2;0;1;4
2500;115950;2007;BMW;3 Series;Saloon;Diesel;Manual;4;Grey;24;2.0;150;2;5;7;0;1;8
9949;45793;2013;Mercedes-Benz;3 Series;Hatchback;Petrol;Manual;5;Red;24;1.6;136;16;5;10;2;1;4
6000;158517;2008;BMW;X5;SUV;Diesel;Automatic;5;Silver;40;3.0;231;2;132;11;0;0;7
4500;112609;2010;Volkswagen;Golf;Hatchback;Diesel;Manual;5;Silver;16;1.6;119;29;62;11;0;1;4
10995;83940;2012;Mercedes-Benz;S-Class;Saloon;Diesel;Automatic;4;Silver;48;3.0;164;16;111;11;0;0;8
7000;110548;2012;Jaguar;XF;Saloon;Diesel;Automatic;4;Silver;37;2.2;149;9;135;11;0;0;8
9949;83399;2015;Mercedes-Benz;E-Class;Saloon;Diesel;Automatic;4;Silver;38;2.1;129;16;50;11;0;0;8
6900;111695;2013;Mitsubishi;Outlander;SUV;Diesel;Manual;5;Blue;24;2.3;140;18;92;2;0;1;7
4949;90000;2011;Volkswagen;Scirocco;Coupe;Diesel;Manual;3;Silver;24;2.0;134;29;115;11;0;1;2
