_id,brand,model
62a499444d5dddaecfddf646,Audi,A1
62a499444d5dddaecfddf647,Audi,A3
62a499444d5dddaecfddf648,Audi,A4
62a499444d5dddaecfddf649,Audi,A5
62a499444d5dddaecfddf64a,Audi,A6
62a499444d5dddaecfddf64b,Audi,A7
62a499444d5dddaecfddf64c,Audi,A8
62a499444d5dddaecfddf64d,Audi,E-Tron
62a499444d5dddaecfddf64e,Audi,Q2
62a499444d5dddaecfddf64f,Audi,Q3
62a499444d5dddaecfddf650,Audi,Q5
62a499444d5dddaecfddf651,Audi,Q7
62a499444d5dddaecfddf652,Audi,Q8
62a499444d5dddaecfddf653,Audi,R8
62a499444d5dddaecfddf654,Audi,TT
62a499444d5dddaecfddf655,Audi,100
62a499444d5dddaecfddf656,Audi,200
62a499444d5dddaecfddf657,Audi,80
62a499444d5dddaecfddf658,Audi,90
62a499444d5dddaecfddf659,Audi,A2
62a499444d5dddaecfddf65a,Audi,Cabriolet
62a499444d5dddaecfddf65b,Audi,Coupe
62a499444d5dddaecfddf65c,Audi,V8
62a499444d5dddaecfddf66c,BMW,1-Series
62a499444d5dddaecfddf66d,BMW,2-Series
62a499444d5dddaecfddf66e,BMW,3-Series
62a499444d5dddaecfddf66f,BMW,4-Series
62a499444d5dddaecfddf670,BMW,5-Series
62a499444d5dddaecfddf671,BMW,6-Series
62a499444d5dddaecfddf672,BMW,7-Series
62a499444d5dddaecfddf673,BMW,8-Series
62a499444d5dddaecfddf674,BMW,Alpina
62a499444d5dddaecfddf675,BMW,i3
62a499444d5dddaecfddf676,BMW,i8
62a499444d5dddaecfddf677,BMW,X1
62a499444d5dddaecfddf678,BMW,X2
62a499444d5dddaecfddf679,BMW,X3
62a499444d5dddaecfddf67a,BMW,X4
62a499444d5dddaecfddf67b,BMW,X5
62a499444d5dddaecfddf67c,BMW,X6
62a499444d5dddaecfddf67d,BMW,X7
62a499444d5dddaecfddf67e,BMW,Z4
62a499444d5dddaecfddf67f,BMW,Z1
62a499444d5dddaecfddf680,BMW,Z3
62a499444d5dddaecfddf681,BMW,Z8
